,region,category,parameter,mode,powertrain,year,unit,value
0,0,0,4,1,1,2011,5,0.000390000001062
1,0,0,2,1,1,2011,5,0.00650000013411
2,0,0,1,1,0,2011,3,49.0
3,0,0,3,1,0,2011,3,49.0
4,0,0,3,1,0,2012,3,220.0
5,0,0,1,1,0,2012,3,170.0
6,0,0,2,1,1,2012,5,0.029999999329448
7,0,0,4,1,1,2012,5,0.002400000113994
8,0,0,3,1,3,2012,3,80.0
9,0,0,1,1,3,2012,3,80.0
10,0,0,1,1,3,2013,3,100.0
11,0,0,3,1,3,2013,3,180.0
12,0,0,4,1,1,2013,5,0.004600000102073
13,0,0,2,1,1,2013,5,0.034000001847744
14,0,0,1,1,0,2013,3,190.0
15,0,0,3,1,0,2013,3,410.0
16,0,0,3,1,0,2014,3,780.0
17,0,0,1,1,0,2014,3,370.0
18,0,0,2,1,1,2014,5,0.159999996423721
19,0,0,4,1,1,2014,5,0.014000000432134
20,0,0,3,1,3,2014,3,1100.0
21,0,0,1,1,3,2014,3,950.0
22,0,0,1,1,3,2015,3,1000.0
23,0,0,3,1,3,2015,3,2100.0
24,0,0,4,1,1,2015,5,0.027000000700355
25,0,0,2,1,1,2015,5,0.200000002980232
26,0,0,1,1,0,2015,3,760.0
27,0,0,3,1,0,2015,3,1500.0
28,0,0,3,1,0,2016,3,2200.0
29,0,0,1,1,0,2016,3,670.0
30,0,0,2,1,1,2016,5,0.150000005960464
31,0,0,4,1,1,2016,5,0.037000000476837
32,0,0,3,1,3,2016,3,2800.0
33,0,0,1,1,3,2016,3,700.0
34,0,0,1,1,3,2017,3,1100.0
35,0,0,3,1,3,2017,3,3900.0
36,0,0,4,1,1,2017,5,0.052000001072884
37,0,0,2,1,1,2017,5,0.259999990463257
38,0,0,0,2,4,2017,4,40.0
39,0,0,0,2,5,2017,4,440.0
40,0,0,1,1,0,2017,3,1200.0
41,0,0,3,1,0,2017,3,3400.0
42,0,0,3,1,0,2018,3,5200.0
43,0,0,1,1,0,2018,3,1800.0
44,0,0,0,2,4,2018,4,61.0
45,0,0,0,2,5,2018,4,670.0
46,0,0,2,1,1,2018,5,0.419999986886978
47,0,0,4,1,1,2018,5,0.076999999582768
48,0,0,3,1,3,2018,3,5700.0
49,0,0,1,1,3,2018,3,1800.0
50,0,0,1,1,3,2019,3,2900.0
51,0,0,3,1,3,2019,3,8600.0
52,0,0,4,1,1,2019,5,0.140000000596046
53,0,0,2,1,1,2019,5,1.20000004768372
54,0,0,0,2,5,2019,4,1700.0
55,0,0,1,1,0,2019,3,6300.0
56,0,0,3,1,0,2019,3,12000.0
58,0,0,1,1,0,2020,3,5200.0
59,0,0,0,2,5,2020,4,2300.0
60,0,0,2,1,1,2020,5,1.10000002384186
61,0,0,4,1,1,2020,5,0.180000007152557
62,0,0,3,1,3,2020,3,10000.0
63,0,0,1,1,3,2020,3,1700.0
64,0,0,1,1,3,2021,3,3400.0
66,0,0,3,1,2,2021,3,44.0
67,0,0,4,1,1,2021,5,0.319999992847443
68,0,0,2,1,1,2021,5,2.79999995231628
69,0,0,0,2,4,2021,4,320.0
70,0,0,0,2,5,2021,4,2000.0
73,0,0,1,1,2,2021,3,44.0
74,0,0,1,1,2,2022,3,15.0
77,0,0,2,1,1,2022,5,5.09999990463257
78,0,0,3,1,2,2022,3,100.0
80,0,0,1,1,3,2022,3,5900.0
81,0,0,4,1,1,2022,5,0.589999973773956
82,0,0,0,2,4,2022,4,470.0
83,0,0,0,2,5,2022,4,2100.0
84,0,0,0,2,4,2023,4,660.0
85,0,0,0,2,5,2023,4,2100.0
86,0,0,4,1,1,2023,5,1.20000004768372
87,0,0,1,1,3,2023,3,11000.0
89,0,0,3,1,2,2023,3,65.0
90,0,0,2,1,1,2023,5,12.0
93,0,0,1,1,2,2023,3,6.0
94,1,0,3,1,0,2010,3,350.0
95,1,0,4,1,1,2010,5,0.00789999961853
96,1,0,4,1,1,2011,5,0.021999999880791
97,1,0,0,2,4,2011,4,0.100000001490116
98,1,0,0,2,5,2011,4,0.100000001490116
99,1,0,3,1,0,2011,3,990.0
100,1,0,3,1,0,2012,3,1400.0
101,1,0,3,1,3,2012,3,140.0
102,1,0,0,2,4,2012,4,0.100000001490116
103,1,0,0,2,5,2012,4,0.100000001490116
104,1,0,4,1,1,2012,5,0.032999999821186
105,1,0,4,1,1,2013,5,0.052999999374151
106,1,0,2,1,1,2013,5,0.200000002980232
107,1,0,0,2,4,2013,4,0.100000001490116
108,1,0,0,2,5,2013,4,0.100000001490116
109,1,0,3,1,3,2013,3,410.0
110,1,0,3,1,0,2013,3,2100.0
111,1,0,1,1,0,2013,3,650.0
112,1,0,1,1,0,2014,3,1700.0
113,1,0,3,1,0,2014,3,3400.0
114,1,0,1,1,2,2014,3,6.0
115,1,0,3,1,2,2014,3,3.0
116,1,0,3,1,3,2014,3,780.0
117,1,0,0,2,4,2014,4,0.100000001490116
118,1,0,0,2,5,2014,4,0.100000001490116
119,1,0,2,1,1,2014,5,0.569999992847443
120,1,0,4,1,1,2014,5,0.089000001549721
121,1,0,4,1,1,2015,5,0.140000000596046
122,1,0,2,1,1,2015,5,0.899999976158142
123,1,0,0,2,4,2015,4,0.100000001490116
124,1,0,0,2,5,2015,4,0.100000001490116
